shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
[@12.0.11838882@]10_20251005,-41.286929,174.757178,216,3840.379695229792
[@12.0.11838882@]10_20251005,-41.286953,174.757307,217,3851.483488471039
[@12.0.11838882@]10_20251005,-41.286983,174.75739,218,3859.1791162082336
[@12.0.11838882@]10_20251005,-41.287052,174.75751,219,3871.804457532304
[@12.0.11838882@]10_20251005,-41.287128,174.757604,220,3883.3413583632655
[@12.0.11838882@]10_20251005,-41.287134,174.757624,221,3885.142631482802
[@12.0.11838882@]10_20251005,-41.287144,174.757641,222,3886.9489012086633
[@12.0.11838882@]10_20251005,-41.287158,174.757653,223,3888.8019668580177
[@12.0.11838882@]10_20251005,-41.287175,174.757658,224,3890.7382772799897
[@12.0.11838882@]10_20251005,-41.287193,174.757655,225,3892.756632188165
[@12.0.11838882@]10_20251005,-41.287208,174.757644,226,3894.660081622867
[@12.0.11838882@]10_20251005,-41.28722,174.757628,227,3896.5468859584
[@12.0.11838882@]10_20251005,-41.287227,174.757606,228,3898.54052996942
[@12.0.11838882@]10_20251005,-41.287228,174.757583,229,3900.462825897744
[@12.0.11838882@]10_20251005,-41.287231,174.757567,230,3901.8385709673385
[@12.0.11838882@]10_20251005,-41.287339,174.757507,231,3914.851998792456
[@12.0.11838882@]10_20251005,-41.287423,174.75745,232,3925.336240518445
[@12.0.11838882@]10_20251005,-41.287505,174.757374,233,3936.4473364854007
[@12.0.11838882@]10_20251005,-41.287597,174.757317,234,3947.731481554342
[@12.0.11838882@]10_20251005,-41.287703,174.75727,235,3960.155334079166
[@12.0.11838882@]10_20251005,-41.288018,174.757135,236,3996.9530705750944
[@12.0.11838882@]10_20251005,-41.288284,174.757045,237,4027.471821081493
[@12.0.11838882@]10_20251005,-41.288383,174.757017,238,4038.725974748455
[@12.0.11838882@]10_20251005,-41.288456,174.757011,239,4046.8588996396174
[@12.0.11838882@]10_20251005,-41.288504,174.757028,240,4052.381498448238
[@12.0.11838882@]10_20251005,-41.288546,174.757063,241,4057.891025998745
[@12.0.11838882@]10_20251005,-41.288585,174.757115,242,4064.030346864095
[@12.0.11838882@]10_20251005,-41.288625,174.757202,243,4072.552355092907
[@12.0.11838882@]10_20251005,-41.288649,174.757274,244,4079.133784099063
[@12.0.11838882@]10_20251005,-41.288652,174.757364,245,4086.660673004557
[@12.0.11838882@]10_20251005,-41.288645,174.757417,246,4091.157847551492
[@12.0.11838882@]10_20251005,-41.288629,174.757479,247,4096.634560470926
[@12.0.11838882@]10_20251005,-41.2886,174.757533,248,4102.179959843424
[@12.0.11838882@]10_20251005,-41.288563,174.757575,249,4107.587113864098
[@12.0.11838882@]10_20251005,-41.288514,174.757608,250,4113.694052566673
[@12.0.11838882@]10_20251005,-41.288464,174.757623,251,4119.393341948206
[@12.0.11838882@]10_20251005,-41.28839,174.757625,252,4127.623756366922
[@12.0.11838882@]10_20251005,-41.288312,174.757616,253,4136.329909778017
[@12.0.11838882@]10_20251005,-41.288217,174.757594,254,4147.05215098775
[@12.0.11838882@]10_20251005,-41.288112,174.75757,255,4158.89817541846
[@12.0.11838882@]10_20251005,-41.288034,174.75756,256,4167.611572317333
[@12.0.11838882@]10_20251005,-41.287932,174.757589,257,4179.210024499572
[@12.0.11838882@]10_20251005,-41.2878992,174.7576165,258,4183.518879978377
[@12.0.11838882@]10_20251005,-41.28783562,174.7575408,259,4193.004825013306
[@12.0.11838882@]10_20251005,-41.2878992,174.7576165,260,4202.4907700482345
[@12.0.11838882@]10_20251005,-41.287825,174.757679,261,4212.255745403119
[@12.0.11838882@]10_20251005,-41.287679,174.757792,262,4231.036171351255
[@12.0.11838882@]10_20251005,-41.28757,174.757881,263,4245.256218401575
[@12.0.11838882@]10_20251005,-41.287366,174.758053,264,4272.109187417415
[@12.0.11838882@]10_20251005,-41.287281,174.758112,265,4282.769045375026
[@12.0.11838882@]10_20251005,-41.287216,174.758143,266,4290.447085762948
[@12.0.11838882@]10_20251005,-41.287135,174.758166,267,4299.656801049042
[@12.0.11838882@]10_20251005,-41.286976,174.758182,268,4317.387120311126
[@12.0.11838882@]10_20251005,-41.286616,174.7582,269,4357.445596817792
[@12.0.11838882@]10_20251005,-41.286462,174.758205,270,4374.574537179138
[@12.0.11838882@]10_20251005,-41.286278,174.758207,271,4395.035049402005
[@12.0.11838882@]10_20251005,-41.286155,174.758207,272,4408.712342341078
[@12.0.11838882@]10_20251005,-41.286032,174.75825,273,4422.853579191519
[@12.0.11838882@]10_20251005,-41.285963,174.758291,274,4431.2563032412345
[@12.0.11838882@]10_20251005,-41.285918,174.758335,275,4437.465689951264
[@12.0.11838882@]10_20251005,-41.285839,174.758448,276,4450.362240829894
[@12.0.11838882@]10_20251005,-41.2858238,174.7584776,277,4453.358352435775
[@12.0.11838882@]10_20251005,-41.28575021999999,174.7584401,278,4462.119200408516
[@12.0.11838882@]10_20251005,-41.2858238,174.7584776,279,4470.880048381257
[@12.0.11838882@]10_20251005,-41.28576,174.758603,280,4483.533555787088
[@12.0.11838882@]10_20251005,-41.285723,174.75867,281,4490.480727849236
[@12.0.11838882@]10_20251005,-41.285451,174.759196,282,4543.831989543602
[@12.0.11838882@]10_20251005,-41.285309,174.75947,283,4571.643047633956
[@12.0.11838882@]10_20251005,-41.285171,174.759647,284,4592.954729940839
[@12.0.11838882@]10_20251005,-41.285067,174.759838,285,4612.662922593329
[@12.0.11838882@]10_20251005,-41.284241,174.761128,286,4754.275528137163
[@12.0.11838882@]10_20251005,-41.2834862,174.7622302,287,4878.879427089268
[@12.0.11838882@]10_20251005,-41.28344091,174.7621992,288,4884.542227952124
[@12.0.11838882@]10_20251005,-41.2834862,174.7622302,289,4890.205028814979
[@12.0.11838882@]10_20251005,-41.283379,174.762387,290,4907.91805665067
