from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
2001,PORI1,2,0,226__0__111__TZM__309__6__309__6_20251116,KPL__1__7211__RAIL__Rail_MTuWThF-XHol_20251116
2002,PORI1,2,0,236__1__714__TZM__302__302_20251116,KPL__1__6443__RAIL__Rail_Xmas_Day_20251116
WATE2,9165,2,0,HVL__0__3840__RAIL__Rail_Xmas_Sat_X_Additional_X_Aftmid_20251116,130__0__443__TZM__404__4__404__4_20251116
WATE2,9165,2,0,HVL__0__3840__RAIL__Rail_Xmas_Sat_20251116,130__0__443__TZM__404__4__404__4_20251116
WATE2,9165,2,0,HVL__0__3840__RAIL__Rail_SaSu_+_Hol_20251116,130__0__443__TZM__404__4__404__4_20251116
2002,PORI1,2,0,236__1__420__TZM__307__5__307__5_20251116,KPL__1__6451__RAIL__Rail_Xmas_Sat_X_Additional_X_Aftmid_20251116
1006,PARA1,2,0,250__0__131__UZM__4047__1__4047__1_20251116,KPL__1__6323__RAIL__Rail_MTuWThF-XHol_20251116
7730,7730,2,120,27__0__127__TZM__106__5__106__5_20251116,7__1__210__TZM__216__6__216__6_20251116
9001,PETO1,2,0,154__0__123__TZM__612__612_20251116,HVL__1__3615__RAIL__Rail_MTuWThF-XHol_20251116
9001,PETO1,2,0,154__0__123__TZM__612__1__612__1_20251116,HVL__1__3615__RAIL__Rail_MTuWThF-XHol_20251116
PARA2,1005,2,0,KPL__0__6452__RAIL__Rail_SaSu_+_Hol_20251116,262__0__721__UZM__115__3__115__3_20251116
PARA2,1005,2,0,KPL__0__6452__RAIL__Rail_Xmas_Day_20251116,262__0__721__UZM__115__3__115__3_20251116
PARA2,1005,2,0,KPL__0__6452__RAIL__Rail_Xmas_Sun+Hol_20251116,262__0__721__UZM__115__3__115__3_20251116
2002,PORI1,2,0,230__1__706__TZM__307__1__307__1_20251116,KPL__1__6427__RAIL__Rail_Xmas_Day_20251116
PARE,2600,2,240,KPL__0__6340__RAIL__Rail_MTuWThF-XHol_20251116,236__0__135__TZM__323__1__323__1_20251116
9001,PETO1,2,0,154__0__421__TZM__402__5__402__5_20251116,HVL__1__3855__RAIL__Rail_Xmas_Sat_X_Additional_X_Aftmid_20251116
3081,3081,2,240,19__0__429__TZM__213__5__213__5_20251116,1__1__468__TZM__202__3__202__3_20251116
PORI2,2003,2,0,KPL__0__6424__RAIL__Rail_SaSu_+_Hol_20251116,226__0__411__TZM__307__5__307__5_20251116
PORI2,2003,2,0,KPL__0__6424__RAIL__Rail_Xmas_Sat_20251116,226__0__411__TZM__307__5__307__5_20251116
PORI2,2003,2,0,KPL__0__6424__RAIL__Rail_Xmas_Sat_X_Additional_X_Aftmid_20251116,226__0__411__TZM__307__5__307__5_20251116
PORI2,2003,2,0,KPL__0__6456__RAIL__Rail_Xmas_Sat_X_Additional_X_Aftmid_20251116,226__0__443__TZM__303__1__303__1_20251116
PORI2,2003,2,0,KPL__0__6456__RAIL__Rail_SaSu_+_Hol_20251116,226__0__443__TZM__303__1__303__1_20251116
PORI2,2003,2,0,KPL__0__6456__RAIL__Rail_Xmas_Sat_20251116,226__0__443__TZM__303__1__303__1_20251116
9001,PETO1,2,0,154__0__113__TZM__412__3__412__3_20251116,HVL__1__2625__RAIL__Rail_MTuWThF-XHol_20251116
9001,PETO1,2,0,154__0__113__TZM__412__5__412__5_20251116,HVL__1__2625__RAIL__Rail_MTuWThF-XHol_20251116
PORI2,2003,2,0,KPL__0__6422__RAIL__Rail_Xmas_Sat_X_Additional_X_Aftmid_20251116,220__1__410__TZM__308__6__308__6_20251116
PORI2,2003,2,0,KPL__0__6422__RAIL__Rail_SaSu_+_Hol_20251116,220__1__410__TZM__308__6__308__6_20251116
PORI2,2003,2,0,KPL__0__6422__RAIL__Rail_Xmas_Sat_20251116,220__1__410__TZM__308__6__308__6_20251116
2003,PORI1,2,0,226__0__449__TZM__303__1__303__1_20251116,KPL__1__6457__RAIL__Rail_Xmas_Sat_20251116
8140,WATE1,2,0,170__0__431__TZM__602__3__602__3_20251116,HVL__1__3839__RAIL__Rail_Xmas_Sat_X_Additional_X_Aftmid_20251116
TAIT2,9251,2,0,HVL__0__3820__RAIL__Rail_Xmas_Sat_X_Additional_X_Aftmid_20251116,120__0__409__TZM__409__409_20251116
TAIT2,9251,2,0,HVL__0__3820__RAIL__Rail_SaSu_+_Hol_20251116,120__0__409__TZM__409__409_20251116
TAIT2,9251,2,0,HVL__0__3920__RAIL__Rail_Xmas_Sat_20251116,120__0__409__TZM__409__409_20251116
WATE2,9140,2,0,HVL__0__3842__RAIL__Rail_SaSu_+_Hol_20251116,170__0__435__TZM__604__3__604__3_20251116
WATE2,9140,2,0,HVL__0__3842__RAIL__Rail_Xmas_Sat_X_Additional_X_Aftmid_20251116,170__0__435__TZM__604__3__604__3_20251116
WATE2,9140,2,0,HVL__0__3842__RAIL__Rail_Xmas_Sat_20251116,170__0__435__TZM__604__3__604__3_20251116
1501,WAIK,2,240,280__0__401__UZM__706__1__706__1_20251116,KPL__1__6415__RAIL__Rail_Xmas_Sat_20251116
8140,WATE1,2,0,170__0__173__TZM__434__1__434__1_20251116,HVL__1__3643__RAIL__Rail_MTuWThF-XHol_20251116
8140,WATE1,2,0,170__0__173__TZM__434__434_20251116,HVL__1__3643__RAIL__Rail_MTuWThF-XHol_20251116
PORI2,2003,2,0,KPL__0__6464__RAIL__Rail_SaSu_+_Hol_20251116,226__0__451__TZM__310__310_20251116
PORI2,2003,2,0,KPL__0__6464__RAIL__Rail_Xmas_Sat_20251116,226__0__451__TZM__310__310_20251116
PORI2,2003,2,0,KPL__0__6464__RAIL__Rail_Xmas_Sat_X_Additional_X_Aftmid_20251116,226__0__451__TZM__310__310_20251116
8251,TAIT1,2,0,120__1__188__TZM__416__3__416__3_20251116,HVL__1__4619__RAIL__Rail_MTuWThF-XHol_20251116
2001,PORI1,2,0,226__0__405__TZM__308__6__308__6_20251116,KPL__1__6411__RAIL__Rail_Xmas_Sat_20251116
PORI2,2003,2,0,KPL__0__6346__RAIL__Rail_MTuWThF-XHol_20251116,220__1__190__TZM__303__6__303__6_20251116
8580,UPPE,2,240,110__1__468__TZM__502__4__502__4_20251116,HVL__1__3849__RAIL__Rail_SaSu_+_Hol_20251116
8580,UPPE,2,240,110__1__736__TZM__504__3__504__3_20251116,HVL__1__3849__RAIL__Rail_SaSu_+_Hol_20251116
1006,PARA1,2,0,262__1__700__UZM__105__1__105__1_20251116,KPL__1__6419__RAIL__Rail_Xmas_Sun+Hol_20251116
3000,3000,2,240,1__0__795__TZM__105__105_20251116,19__0__745__TZM__201__1__201__1_20251116
